,時間,本文
60,2023-01-20 23:54:11+09:00,わー、何度観てもジャック・スパロウ役のジョニーデップが大好き！身のこなし、表情、目線から指先の動かし方まで色気がにじみ出てる…。オーランド・ブルームもかっこいいしエリザベス美しいし。バルボッサもノリントン提督もみんな懐かしくて見入ってしまった。パイレーツオブカリビアン名作すぎる。
61,2023-01-20 23:54:11+09:00,"パイレーツオブカリビアン見ました来週からの進路が決まりました
航海だけに後悔はありません
でもお母さんは怒りを露わにしてました
碇だけに
あとジャックダニエルのこと
ジャックスパローっていったのお母さんが未だに馬鹿にしてきますたすけてください"
62,2023-01-20 23:53:55+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
63,2023-01-20 23:53:49+09:00,パイレーツオブカリビアン、生命の泉は数回見た記憶あるけど、最後の海賊って観たことあったか怪しいんだよな……どんな話かもよく覚えてないしワンチャン観てないか？
64,2023-01-20 23:53:44+09:00,"パイレーツオブカリビアン、中学の部活でちょっとだけフルートやってた時めちゃんこ楽しかった
メインどころほぼ吹ける"
65,2023-01-20 23:53:43+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
66,2023-01-20 23:53:41+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
67,2023-01-20 23:53:36+09:00,パイレーツオブカリビアンやってたのか…捕らわれのお姫様を助けに行ったはずが、なんやかんやでいつの間にか捕らわれの王子様をお姫様と海賊が助けに行く羽目になってたあの……。
68,2023-01-20 23:53:35+09:00,初めてパイレーツオブカリビアン見た　おもろい
69,2023-01-20 23:53:33+09:00,ロードオブザリング見てからパイレーツオブカリビアン見るとオーランドブルームは髭あるだけで印象変わるな？ってなる
70,2023-01-20 23:53:30+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
71,2023-01-20 23:53:29+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
72,2023-01-20 23:53:11+09:00,"RT @mononomonomon: パイレーツオブカリビアンの名物キャラ、義眼の海賊ラゲッティ役のマッケンジー・クルックって実はめっちゃイケメンなのな。

同一人物に見えない(笑)

#パイレーツ・オブ・カリビアン 
#呪われた海賊たち 
#金曜ロードショー
#金曜ロードSH…"
73,2023-01-20 23:52:36+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
74,2023-01-20 23:52:33+09:00,"すんごい久々だったから真剣にパイレーツオブカリビアン見てしまったけどカット多かったよな？？
ずっとテレビの前に居たために明日も仕事なのに何の準備も出来てないっす🥹"
75,2023-01-20 23:52:32+09:00,"RT @seiryokushi2: 10日目！
パイレーツオブカリビアン観てるよ！
だいぶ描き慣れてきた焦凍くん！
#1日1焦凍くん https://t.co/XIzZi1Lm5l"
76,2023-01-20 23:52:13+09:00,RT @miya3555: パイレーツオブカリビアンの好きなところは誰かが言った台詞を後で違う誰かが使うこと　同じ言葉なのに意味が違ったりして面白いよね　舞台でもそういう脚本大好き
77,2023-01-20 23:52:13+09:00,"パイレーツオブカリビアンをCM無いから早く終わるだろうとディズニープラスで見てたらテレビが先に終わってたw

2時間25分間飽きさせないパイレーツオブカリビアン凄い！

息子も面白かったって興奮してました🏴‍☠️"
78,2023-01-20 23:51:56+09:00,"@hiratapro 平田さんツイート沢山ありがとうございました🥰
いつ観てもパイレーツオブカリビアンは面白いですね☺️
来週も楽しみにしています！"
79,2023-01-20 23:51:54+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
80,2023-01-20 23:51:48+09:00,"RT @YOULEGO: #金曜ロードショー
#パイレーツオブカリビアン 
このあと９時！
#レゴ
#LEGO
クジダゼー！ https://t.co/qdmbrJOp3Q"
81,2023-01-20 23:51:47+09:00,"RT @lunapoyon: 今日の金ローはパイレーツオブカリビアン☠️

パークも映画もこのシーンあるね🐶

#シルバニア #シルバニアファミリー #ディズニー https://t.co/a1RmeH3cMx"
82,2023-01-20 23:51:44+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
83,2023-01-20 23:51:42+09:00,RT @miya3555: パイレーツオブカリビアンの好きなところは誰かが言った台詞を後で違う誰かが使うこと　同じ言葉なのに意味が違ったりして面白いよね　舞台でもそういう脚本大好き
84,2023-01-20 23:51:33+09:00,結局コメダでビックなコーヒーと網焼きチキンサンドとナポリタンとコーヒーゼリーを暴食した結果パイレーツオブカリビアンを見逃しました(·﹏·)⚓️
85,2023-01-20 23:51:26+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
86,2023-01-20 23:51:20+09:00,パイレーツオブカリビアン、来週こそ見なければ‼️シリーズ全部劇場で見た。無条件に楽しめる作品🎶
87,2023-01-20 23:51:16+09:00,"昔、黒髭の船を沈めれなくて心折れて手放したけど、

パイレーツオブカリビアン観てたらやりたくなって買ってきた🤤🏴‍☠️ https://t.co/kZoqa327gq"
88,2023-01-20 23:51:07+09:00,"昔パイレーツオブカリビアンの吹奏楽アレンジ吹いた時に、ソロ部分で学生指揮者とソリストに「恋人同士みたいに演奏して」って先生が言ってたの思い出した。
学指揮もソリストも女子生徒だった。"
89,2023-01-20 23:50:58+09:00,RT @wana_rkb: #パイレーツオブカリビアン と少しかぶる今夜も23時～「#シソンヌ の #ばばあの罠」OPはじろうさんの #Mリーグ の話から🙄 そして差し入れでいただいたおせんべいをボリボリ…久々に ASMR もお楽しみいただけます♪🤣 後半は「学校の罠」など！リ…
90,2023-01-20 23:50:58+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
91,2023-01-20 23:50:54+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
92,2023-01-20 23:50:47+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアさいご

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー https://t.co/9HtqWLoKDq"
93,2023-01-20 23:50:36+09:00,俺は愛 パイレーツオブカリビアン観てるけどビールと柿の種で一杯！明日も早いから早目に終了するよ。 / ニコ生視聴中 https://t.co/3I4Fg2M1y1
94,2023-01-20 23:50:33+09:00,&amp;TOURまだなのに、、偶然パイレーツオブカリビアンが🤦🏼‍♀️当時学生で映画館へ３回、円盤とサントラも買った🐠娘の名前１字は帆船から取った。忘れかけてたけどそんな思い入れ、後にも先にもエヴァとこの作品くらい。（シュガー&amp;スパイス風味絶佳も好き）
95,2023-01-20 23:50:29+09:00,"オーランド・ブルームの個人的最高傑作は「エリザベス・タウン」だと思ってる（観てすぐ赤いニット帽買った）

 #パイレーツオブカリビアン
＃金曜ロードショー https://t.co/1HZ0TJ8rAu"
96,2023-01-20 23:50:26+09:00,パイレーツオブカリビアンの地上波って、めっちゃ端折られとるんやね。💀
97,2023-01-20 23:50:24+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
98,2023-01-20 23:50:21+09:00,"RT @the_river_jp: 『パイレーツ・オブ・カリビアン』テーマ曲はジャック・スパロウの頭の中で流れているものという解釈、作曲家ハンス・ジマーが語る🏴‍☠️
https://t.co/Q6tJ3mhShn

#パイレーツ・オブ・カリビアン #パイレーツオブカリビアン…"
99,2023-01-20 23:50:16+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアさいご

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー https://t.co/9HtqWLoKDq"
100,2023-01-20 23:50:14+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
101,2023-01-20 23:50:05+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
102,2023-01-20 23:49:57+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
103,2023-01-20 23:49:52+09:00,"パイレーツオブカリビアン
はじめてみた
私が映画とか芸能人とか知らなすぎて
彼にびっくりされるたび
学生の頃ほんとに遊ばなかったんだなって思った
高校からずっと
働くことが娯楽になってたもんな〜"
104,2023-01-20 23:49:50+09:00,"RT @kaiyodo_PR: 【特報】
『キャプテン・ジャックスパロウ』、#リボルテック で蘇る！

海洋堂のアクションフィギュアブランド”リボルテック”に「#ジャックスパロウ」が再び登場！
詳細は近日発表！

#パイレーツオブカリビアン
#ディズニー https://t.c…"
105,2023-01-20 23:49:50+09:00,"パイレーツオブカリビアン
ずっとピンク映画だと思ってたわ https://t.co/OcpUo9jVID"
106,2023-01-20 23:49:49+09:00,パイレーツオブカリビアン好きな息子が「えー、あのシーンカットすんの？」とか「最高のセリフ無いのかよ！？」とか言って不満そうでした。23時超えるからノーカットなのかと思ったよね。
107,2023-01-20 23:49:43+09:00,"RT @HARUMAKImusic: 若い頃のオーランド・ブルームの顔の良さは半端じゃねえぜ
これ以上整った顔見たことない
#パイレーツオブカリビアン https://t.co/qU1yd3MMUO"
108,2023-01-20 23:49:42+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
109,2023-01-20 23:49:42+09:00,"パイレーツオブカリビアンは最高の作品👍！

初めて花京院の声を聞いたときもウィルの声だ！ってなったのを今でも覚えてる！"
110,2023-01-20 23:49:33+09:00,RT @saku93: パイレーツオブカリビアン懐かしい
111,2023-01-20 23:49:32+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
112,2023-01-20 23:49:31+09:00,"RT @junyoshioka_32: バルボッサかっこいいよな🏴‍☠️
#パイレーツ・オブ・カリビアン 
#呪われた海賊たち #バルボッサ
#ジェフリー・ラッシュ
#パイレーツオブカリビアン
 https://t.co/ATygdYOCAS"
113,2023-01-20 23:49:24+09:00,"えっ！！まじで！？
今日の金曜ロードショー、
『パイレーツオブカリビアン』だったんだ！！

Blu-ray
→https://t.co/V7M4pf0HK3

DVD
→https://t.co/jdlhoRTC8z

Amazonで今までの５作品がセットで
＼23%OFFになってるよ／

これはお手頃価格～✨

#金曜ロードショー
#パイレーツ・オブ・カリビアン"
114,2023-01-20 23:49:12+09:00,RT @study666i: パイレーツオブカリビアンじゃない https://t.co/UkqqXeh2jy
115,2023-01-20 23:49:12+09:00,オーランド・ブルームといえば吹き替えは平川さん！！！　大好き！！　パイレーツオブカリビアンで平川さん知って、緋色の欠片でずぼずぼと沼へ……。
116,2023-01-20 23:49:09+09:00,金だろ パイレーツオブカリビアン観てるけどビールと柿の種で一杯！明日も早いから早目に終了するよ。 / ニコ生視聴中 https://t.co/TAIfB0FBFs
117,2023-01-20 23:49:08+09:00,FEエンゲージ楽しすぎて、パイレーツオブカリビアン観るの忘れてた😇
118,2023-01-20 23:49:07+09:00,"スプラ3のカップ麺食べる！
週末バンザイ🙌
パイレーツオブカリビアン面白かった(^^)✨

#乾杯
#ラーメン https://t.co/6IFGIpQmkV"
119,2023-01-20 23:49:06+09:00,"「海賊の掟」つうかガイドライン。

うちにあるよ。

 #パイレーツオブカリビアン https://t.co/aNsJagCxnI"
120,2023-01-20 23:49:06+09:00,RT @miya3555: パイレーツオブカリビアンの好きなところは誰かが言った台詞を後で違う誰かが使うこと　同じ言葉なのに意味が違ったりして面白いよね　舞台でもそういう脚本大好き
121,2023-01-20 23:49:00+09:00,"RT @saku93: パイレーツオブカリビアン
浜辺で酔っ払ってるシーンすき"
122,2023-01-20 23:48:50+09:00,"RT @HuffPostJapan: #ジョニーデップ が #ジャック・スパロウ を演じる『パイレーツ・オブ・カリビアン』

“隠れミッキー”はいつ・どこに出る？

それは、ほんの一瞬の出来事なんです...
#パイレーツオブカリビアン 
#金ロー  https://t.co/z…"
123,2023-01-20 23:48:48+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
124,2023-01-20 23:48:45+09:00,パイレーツオブカリビアン見てたのに途中から31-32話見てしまった…しかもめっちゃ解説してしまった…いかに翔trという男がいいやつであるかを重点的に
125,2023-01-20 23:48:44+09:00,RT @miya3555: パイレーツオブカリビアンの好きなところは誰かが言った台詞を後で違う誰かが使うこと　同じ言葉なのに意味が違ったりして面白いよね　舞台でもそういう脚本大好き
126,2023-01-20 23:48:40+09:00,"天国が来る来る2,000年経ってるんだぞ！そんなの予言とは言わない パイレーツオブカリビアン観てるけどビールと柿の種で一杯！明日も早いから早目に終了するよ。 / ニコ生視聴中 https://t.co/DSGG6DtTHy"
127,2023-01-20 23:48:39+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
